session,group,type,channel,trial,meanRbar,nSubWin,nSlips,included
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,1,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,2,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,3,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,4,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,5,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,6,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,7,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,8,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,9,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,10,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,11,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,12,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,13,0.320457174815959,2,1,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,14,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,15,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,16,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,17,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,18,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,19,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,20,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,21,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,22,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,23,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,24,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,25,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,26,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,27,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,28,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,29,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,30,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,31,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,32,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,33,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,34,0.994950392245212,2,0,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,35,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,36,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,37,NaN,0,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,38,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,1,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,2,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,3,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,4,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,5,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,6,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,7,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,8,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,9,0.768488282495962,2,0,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,10,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,11,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,12,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,13,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,14,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,15,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,16,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,17,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,18,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,19,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,20,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,21,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,22,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,23,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,24,0.688173590869895,5,4,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,25,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,26,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,27,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,28,0.948237996145765,2,1,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,29,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,30,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,31,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,32,0.958395574976289,2,2,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,33,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,34,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,35,0.999289560703844,2,2,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,36,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,37,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,38,NaN,0,0,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,39,0.726463816472099,2,2,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,1,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,2,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,3,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,4,0.808602879062254,2,1,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,5,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,6,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,7,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,8,0.90873813062374,2,0,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,9,0.737255005182806,2,0,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,10,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,11,0.1799685323301,2,1,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,12,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,13,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,14,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,15,0.267432282678726,2,1,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,16,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,17,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,18,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,19,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,20,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,21,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,22,0.156551590004098,4,1,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,23,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,24,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,25,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,26,0.549130252602093,2,0,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,27,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,28,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,29,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,30,0.897628663928063,3,2,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,31,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,32,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,33,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,34,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,35,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,36,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,37,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,38,NaN,0,0,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,39,0.778906474710206,2,0,1
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,1,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,2,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,3,0.720983033049545,2,2,1
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,4,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,5,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,6,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,7,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,8,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,9,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,10,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,11,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,12,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,13,0.617602010419273,2,2,1
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,14,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,15,0.62318662760168,2,1,1
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,16,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,17,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,18,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,19,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,20,0.227841803816083,2,1,1
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,21,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,22,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,23,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,24,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,25,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,26,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,27,0.599488550780583,2,2,1
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,28,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,29,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,30,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,31,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,32,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,33,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,34,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,35,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,36,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,37,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,38,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,39,NaN,0,0,0
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,40,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,1,0.000359731879120959,2,1,1
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,2,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,3,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,4,0.583265994199646,2,1,1
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,5,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,6,0.0834656379277992,2,2,1
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,7,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,8,0.329849396670394,2,1,1
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,9,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,10,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,11,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,12,NaN,0,0,0
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,13,NaN,0,0,0
